------------------------------------------------------------------------------------
Date: 7/29/2025 -- 18:40:57 (uptime: 0d, 00h 00m 25s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
http.memuse                                   | Total                     | 2387379
ftp.memuse                                    | Total                     | 9654
app_layer.expectations                        | Total                     | 3
flow.memuse                                   | Total                     | 8705344
------------------------------------------------------------------------------------
Date: 7/29/2025 -- 18:41:28 (uptime: 0d, 00h 00m 56s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 9322025
decoder.bytes                                 | Total                     | 7992634369
decoder.ipv4                                  | Total                     | 9240815
decoder.ipv6                                  | Total                     | 28030
decoder.ethernet                              | Total                     | 9322025
decoder.tcp                                   | Total                     | 8538148
decoder.udp                                   | Total                     | 726608
decoder.icmpv4                                | Total                     | 1429
decoder.icmpv6                                | Total                     | 2342
decoder.avg_pkt_size                          | Total                     | 857
decoder.max_pkt_size                          | Total                     | 23414
flow.tcp                                      | Total                     | 162548
flow.udp                                      | Total                     | 171755
flow.icmpv4                                   | Total                     | 68
flow.icmpv6                                   | Total                     | 60
flow.tcp_reuse                                | Total                     | 1784
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 2506
defrag.ipv4.fragments                         | Total                     | 188
defrag.ipv4.reassembled                       | Total                     | 92
decoder.event.ipv4.opt_pad_required           | Total                     | 130
decoder.event.icmpv4.unknown_code             | Total                     | 322
decoder.event.ipv6.zero_len_padn              | Total                     | 1660
decoder.event.ipv4.frag_overlap               | Total                     | 2
flow.wrk.flows_evicted_needs_work             | Total                     | 65905
flow.wrk.flows_evicted_pkt_inject             | Total                     | 100153
flow.wrk.flows_evicted                        | Total                     | 21020
flow.wrk.flows_injected                       | Total                     | 63941
tcp.sessions                                  | Total                     | 159515
tcp.invalid_checksum                          | Total                     | 1304002
tcp.syn                                       | Total                     | 230820
tcp.synack                                    | Total                     | 103468
tcp.rst                                       | Total                     | 105855
tcp.stream_depth_reached                      | Total                     | 136
tcp.reassembly_gap                            | Total                     | 56247
tcp.overlap                                   | Total                     | 41392
detect.alert                                  | Total                     | 25245
detect.alerts_suppressed                      | Total                     | 3520
app_layer.flow.http                           | Total                     | 17176
app_layer.tx.http                             | Total                     | 52293
app_layer.flow.ftp                            | Total                     | 522
app_layer.tx.ftp                              | Total                     | 3785
app_layer.flow.tls                            | Total                     | 53143
app_layer.flow.ssh                            | Total                     | 1107
app_layer.flow.smb                            | Total                     | 649
app_layer.tx.smb                              | Total                     | 4771
app_layer.flow.dcerpc_tcp                     | Total                     | 159
app_layer.tx.dcerpc_tcp                       | Total                     | 414
app_layer.flow.dns_tcp                        | Total                     | 1
app_layer.tx.dns_tcp                          | Total                     | 2
app_layer.flow.ntp                            | Total                     | 1464
app_layer.tx.ntp                              | Total                     | 7097
app_layer.flow.ftp-data                       | Total                     | 267
app_layer.flow.krb5_tcp                       | Total                     | 113
app_layer.tx.krb5_tcp                         | Total                     | 133
app_layer.flow.failed_tcp                     | Total                     | 486
app_layer.flow.dns_udp                        | Total                     | 166356
app_layer.tx.dns_udp                          | Total                     | 644726
app_layer.flow.krb5_udp                       | Total                     | 313
app_layer.tx.krb5_udp                         | Total                     | 626
app_layer.flow.failed_udp                     | Total                     | 3622
flow.mgr.full_hash_pass                       | Total                     | 120
flow.spare                                    | Total                     | 11108
flow.mgr.rows_maxlen                          | Total                     | 4
flow.mgr.flows_checked                        | Total                     | 566889
flow.mgr.flows_notimeout                      | Total                     | 255773
flow.mgr.flows_timeout                        | Total                     | 311116
flow.mgr.flows_evicted                        | Total                     | 311116
flow.mgr.flows_evicted_needs_work             | Total                     | 63638
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 786432
ftp.memuse                                    | Total                     | 6
flow.memuse                                   | Total                     | 9058624
